vehicle_count,average_speed,hour,day_of_week,weather,previous_congestion,congestion
58,37,20,Monday,Clear,LOW,LOW
24,32,23,Monday,Rain,LOW,LOW
12,60,1,Monday,Clear,LOW,LOW
85,5,17,Tuesday,Rain,LOW,MEDIUM
117,8,18,Wednesday,Fog,MEDIUM,MEDIUM
41,55,22,Thursday,Clear,MEDIUM,LOW
83,30,10,Monday,Clear,LOW,LOW
87,10,19,Wednesday,Fog,LOW,MEDIUM
29,33,12,Monday,Clear,MEDIUM,LOW
39,44,11,Friday,Clear,LOW,LOW
99,9,9,Monday,Fog,LOW,MEDIUM
27,50,14,Saturday,Fog,MEDIUM,LOW
17,30,21,Wednesday,Rain,LOW,LOW
17,39,5,Friday,Rain,LOW,LOW
8,64,22,Friday,Clear,LOW,LOW
15,41,1,Tuesday,Fog,LOW,LOW
3,40,2,Tuesday,Heavy Rain,LOW,LOW
74,20,20,Thursday,Clear,LOW,LOW
79,21,8,Tuesday,Clear,LOW,LOW
81,25,18,Thursday,Fog,LOW,LOW
11,34,4,Friday,Clear,LOW,LOW
3,44,4,Saturday,Clear,LOW,LOW
8,53,12,Thursday,Clear,LOW,LOW
86,5,17,Sunday,Heavy Rain,LOW,MEDIUM
102,7,8,Sunday,Rain,MEDIUM,MEDIUM
8,61,0,Saturday,Fog,MEDIUM,LOW
18,27,5,Friday,Heavy Rain,LOW,LOW
53,37,16,Friday,Clear,LOW,LOW
52,34,16,Monday,Clear,LOW,LOW
20,52,11,Sunday,Fog,LOW,LOW
84,21,18,Monday,Clear,LOW,LOW
70,10,17,Sunday,Clear,LOW,LOW
3,40,5,Wednesday,Clear,LOW,LOW
93,9,17,Sunday,Rain,LOW,MEDIUM
52,33,20,Wednesday,Clear,MEDIUM,LOW
50,31,7,Monday,Clear,LOW,LOW
52,29,7,Monday,Clear,LOW,LOW
3,53,1,Sunday,Clear,LOW,LOW
14,33,15,Tuesday,Clear,LOW,LOW
74,26,18,Thursday,Clear,LOW,LOW
3,55,3,Monday,Rain,LOW,LOW
32,36,21,Saturday,Heavy Rain,LOW,LOW
3,52,3,Tuesday,Clear,LOW,LOW
14,47,5,Wednesday,Clear,LOW,LOW
118,7,17,Monday,Clear,LOW,MEDIUM
18,55,2,Sunday,Fog,MEDIUM,LOW
33,44,6,Sunday,Clear,LOW,LOW
22,26,12,Wednesday,Heavy Rain,LOW,LOW
23,51,21,Saturday,Clear,LOW,LOW
22,43,1,Friday,Rain,LOW,LOW
95,13,18,Thursday,Clear,LOW,LOW
65,30,16,Monday,Fog,LOW,LOW
68,23,7,Thursday,Clear,LOW,LOW
72,18,19,Monday,Rain,LOW,MEDIUM
57,26,10,Wednesday,Clear,MEDIUM,LOW
15,49,12,Tuesday,Rain,LOW,LOW
3,39,0,Thursday,Rain,LOW,LOW
48,29,6,Friday,Clear,LOW,LOW
42,41,7,Wednesday,Clear,LOW,LOW
96,5,9,Friday,Heavy Rain,LOW,MEDIUM
114,10,17,Wednesday,Heavy Rain,MEDIUM,MEDIUM
16,45,3,Monday,Rain,MEDIUM,LOW
12,45,22,Wednesday,Clear,LOW,LOW
23,31,15,Wednesday,Heavy Rain,LOW,LOW
92,6,8,Monday,Clear,LOW,LOW
74,17,8,Tuesday,Rain,LOW,MEDIUM
6,43,3,Monday,Heavy Rain,MEDIUM,LOW
16,49,11,Friday,Clear,LOW,LOW
33,28,11,Sunday,Heavy Rain,LOW,LOW
65,12,7,Saturday,Clear,LOW,LOW
29,33,13,Friday,Rain,LOW,LOW
8,44,5,Thursday,Clear,LOW,LOW
18,34,13,Sunday,Rain,LOW,LOW
36,42,22,Monday,Clear,LOW,LOW
